Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
"COMMODITY EXCHANGE, INC.",,,,,,,,
,,,,,,,,
METAL DEPOSITORY STATISTICS,,,,,,,,
SILVER,,,,,,Report Date: 2/20/2026,,
Troy Ounce,,,,,,Activity Date: 2/19/2026,,
,,,,,,,,
DEPOSITORY,,PREV TOTAL,RECEIVED,WITHDRAWN,NET CHANGE,ADJUSTMENT,TOTAL TODAY,
,,,,,,,,
ASAHI DEPOSITORY LLC,,,,,,,,
  Registered,,23301775.992,0,0,0,0,23301775.992,
  Eligible,,2748893.808,0,0,0,0,2748893.808,
  Total,,26050669.799999997,0,0,0,0,26050669.799999997,
,,,,,,,,
"BRINK'S, INC.",,,,,,,,
  Registered,,15782712.636,0,0,0,0,15782712.636,
  Eligible,,39336942.517,0,0,0,0,39336942.517,
  Total,,55119655.153,0,0,0,0,55119655.153,
,,,,,,,,
"CNT DEPOSITORY, INC.",,,,,,,,
  Registered,,12174851.569,0,0,0,0,12174851.569,
  Eligible,,14018899.428,0,0,0,0,14018899.428,
  Total,,26193750.997,0,0,0,0,26193750.997,
,,,,,,,,
DELAWARE DEPOSITORY,,,,,,,,
  Registered,,1532776.423,0,0,0,0,1532776.423,
  Eligible,,16276669.15,0,4000.8,-4000.8,-39.5,16272628.85,
  Total,,17809445.573,0,4000.8,-4000.8,-39.5,17805405.273,
,,,,,,,,
"HSBC BANK, USA",,,,,,,,
  Registered,,3412157.57,0,0,0,0,3412157.57,
  Eligible,,20264362.853,0,625953.5,-625953.5,0,19638409.353,
  Total,,23676520.423,0,625953.5,-625953.5,0,23050566.923,
,,,,,,,,
INTERNATIONAL DEPOSITORY SERVICES OF DELAWARE,,,,,,,,
  Registered,,273789.87,0,0,0,0,273789.87,
  Eligible,,3642206.244,0,346959.6,-346959.6,0,3295246.644,
  Total,,3915996.114,0,346959.6,-346959.6,0,3569036.514,
,,,,,,,,
JP MORGAN CHASE BANK NA,,,,,,,,
  Registered,,12000343.77,0,0,0,0,12000343.77,
  Eligible,,143854408.433,0,0,0,0,143854408.433,
  Total,,155854752.203,0,0,0,0,155854752.203,
,,,,,,,,
LOOMIS INTERNATIONAL (US) LLC,,,,,,,,
  Registered,,6311885.937,0,0,0,0,6311885.937,
  Eligible,,24033585.186,0,0,0,0,24033585.186,
  Total,,30345471.123,0,0,0,0,30345471.123,
,,,,,,,,
"MALCA-AMIT ARMORED, INC.",,,,,,,,
  Registered,,0,0,0,0,0,0,
  Eligible,,0,0,0,0,0,0,
  Total,,0,0,0,0,0,0,
,,,,,,,,
"MALCA-AMIT USA, LLC",,,,,,,,
  Registered,,949634.064,0,0,0,0,949634.064,
  Eligible,,1073898.377,0,0,0,0,1073898.377,
  Total,,2023532.441,0,0,0,0,2023532.441,
,,,,,,,,
"MANFRA, TORDELLA & BROOKES, LLC",,,,,,,,
  Registered,,6219630.033,0,0,0,0,6219630.033,
  Eligible,,12448651.307,0,192635.4,-192635.4,0,12256015.907,
  Total,,18668281.34,0,192635.4,-192635.4,0,18475645.939999998,
,,,,,,,,
STONEX PRECIOUS METALS LLC,,,,,,,,
  Registered,,6231501.4,0,0,0,0,6231501.4,
  Eligible,,1537051.72,0,0,0,0,1537051.72,
  Total,,7768553.12,0,0,0,0,7768553.12,
,,,,,,,,
TOTAL REGISTERED,,88191059.264,0,0,0,0,88191059.264,
TOTAL ELIGIBLE,,279235569.023,0,1169549.3,-1169549.3,-39.5,278065980.223,
COMBINED TOTAL,,367426628.287,0,1169549.3,-1169549.3,-39.5,366257039.487,
,,,,,,,,
,,,,,,,,
"The information in this report is taken from sources believed to be reliable; however, ",,,,,,,,
"the Commodity Exchange, Inc. disclaims all liability whatsoever with regard to its accuracy or completeness.",,,,,,,,
This report is produced for information purposes only.,,,,,,,,
,,,,,,,,
For questions regarding this report please email Registrar@cmegroup.com.,,,,,,,,
