Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
"COMMODITY EXCHANGE, INC.",,,,,,,,
,,,,,,,,
METAL DEPOSITORY STATISTICS,,,,,,,,
SILVER,,,,,,Report Date: 1/15/2026,,
Troy Ounce,,,,,,Activity Date: 1/14/2026,,
,,,,,,,,
DEPOSITORY,,PREV TOTAL,RECEIVED,WITHDRAWN,NET CHANGE,ADJUSTMENT,TOTAL TODAY,
,,,,,,,,
ASAHI DEPOSITORY LLC,,,,,,,,
  Registered,,30752156.182,0,0,0,0,30752156.182,
  Eligible,,5642751.008,0,0,0,0,5642751.008,
  Total,,36394907.19,0,0,0,0,36394907.19,
,,,,,,,,
"BRINK'S, INC.",,,,,,,,
  Registered,,24040531.507,0,0,0,4802.4,24045333.907,
  Eligible,,33151414.42,0,0,0,-4802.4,33146612.02,
  Total,,57191945.927,0,0,0,0,57191945.927,
,,,,,,,,
"CNT DEPOSITORY, INC.",,,,,,,,
  Registered,,20573068.307,589658.91,0,589658.91,0,21162727.217,
  Eligible,,17160649.57,51633.06,0,51633.06,0,17212282.63,
  Total,,37733717.877000004,641291.97,0,641291.97,0,38375009.847,
,,,,,,,,
DELAWARE DEPOSITORY,,,,,,,,
  Registered,,2208789.888,0,0,0,0,2208789.888,
  Eligible,,15704208.214,0,32902.03,-32902.03,0,15671306.184,
  Total,,17912998.101999998,0,32902.03,-32902.03,0,17880096.072,
,,,,,,,,
"HSBC BANK, USA",,,,,,,,
  Registered,,3754407.32,0,0,0,0,3754407.32,
  Eligible,,22557391.084,0,24544.5,-24544.5,0,22532846.584,
  Total,,26311798.404,0,24544.5,-24544.5,0,26287253.904,
,,,,,,,,
INTERNATIONAL DEPOSITORY SERVICES OF DELAWARE,,,,,,,,
  Registered,,635240.035,0,0,0,0,635240.035,
  Eligible,,3280756.079,0,0,0,0,3280756.079,
  Total,,3915996.114,0,0,0,0,3915996.114,
,,,,,,,,
JP MORGAN CHASE BANK NA,,,,,,,,
  Registered,,16029452.75,0,0,0,-127113,15902339.75,
  Eligible,,165649301.823,0,1461631.76,-1461631.76,127113,164314783.063,
  Total,,181678754.573,0,1461631.76,-1461631.76,0,180217122.813,
,,,,,,,,
LOOMIS INTERNATIONAL (US) LLC,,,,,,,,
  Registered,,4184591.205,0,0,0,0,4184591.205,
  Eligible,,33521334.994,0,100546.11,-100546.11,0,33420788.884,
  Total,,37705926.199,0,100546.11,-100546.11,0,37605380.089,
,,,,,,,,
"MALCA-AMIT ARMORED, INC.",,,,,,,,
  Registered,,0,0,0,0,0,0,
  Eligible,,0,0,0,0,0,0,
  Total,,0,0,0,0,0,0,
,,,,,,,,
"MALCA-AMIT USA, LLC",,,,,,,,
  Registered,,1416635.864,0,0,0,0,1416635.864,
  Eligible,,606896.577,0,0,0,0,606896.577,
  Total,,2023532.441,0,0,0,0,2023532.441,
,,,,,,,,
"MANFRA, TORDELLA & BROOKES, LLC",,,,,,,,
  Registered,,11364858.393,0,0,0,-4785.381,11360073.012,
  Eligible,,14136703.65,0,0,0,4785.381,14141489.031,
  Total,,25501562.042999998,0,0,0,0,25501562.042999998,
,,,,,,,,
STONEX PRECIOUS METALS LLC,,,,,,,,
  Registered,,7782228.66,0,0,0,0,7782228.66,
  Eligible,,207075.34,0,0,0,0,207075.34,
  Total,,7989304,0,0,0,0,7989304,
,,,,,,,,
TOTAL REGISTERED,,122741960.11099997,589658.91,0,589658.91,-127095.981,123204523.03999996,
TOTAL ELIGIBLE,,311618482.759,51633.06,1619624.4000000001,-1567991.34,127095.981,310177587.4,
COMBINED TOTAL,,434360442.87,641291.97,1619624.4000000001,-978332.43,0,433382110.43999994,
,,,,,,,,
,,,,,,,,
"The information in this report is taken from sources believed to be reliable; however, ",,,,,,,,
"the Commodity Exchange, Inc. disclaims all liability whatsoever with regard to its accuracy or completeness.",,,,,,,,
This report is produced for information purposes only.,,,,,,,,
,,,,,,,,
For questions regarding this report please email Registrar@cmegroup.com.,,,,,,,,
