Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
"COMMODITY EXCHANGE, INC.",,,,,,,,
,,,,,,,,
METAL DEPOSITORY STATISTICS,,,,,,,,
SILVER,,,,,,Report Date: 3/19/2026,,
Troy Ounce,,,,,,Activity Date: 3/18/2026,,
,,,,,,,,
DEPOSITORY,,PREV TOTAL,RECEIVED,WITHDRAWN,NET CHANGE,ADJUSTMENT,TOTAL TODAY,
,,,,,,,,
ASAHI DEPOSITORY LLC,,,,,,,,
  Registered,,22226973.992,0,0,0,0,22226973.992,
  Eligible,,1064402.578,0,0,0,0,1064402.578,
  Total,,23291376.57,0,0,0,0,23291376.57,
,,,,,,,,
"BRINK'S, INC.",,,,,,,,
  Registered,,11627379.071,0,0,0,0,11627379.071,
  Eligible,,38786843.791,0,0,0,0,38786843.791,
  Total,,50414222.862,0,0,0,0,50414222.862,
,,,,,,,,
"CNT DEPOSITORY, INC.",,,,,,,,
  Registered,,11785958.483,0,0,0,0,11785958.483,
  Eligible,,9068712.385,0,0,0,0,9068712.385,
  Total,,20854670.868,0,0,0,0,20854670.868,
,,,,,,,,
DELAWARE DEPOSITORY,,,,,,,,
  Registered,,1637870.342,0,0,0,0,1637870.342,
  Eligible,,15518474.305,0,995,-995,0,15517479.305,
  Total,,17156344.647,0,995,-995,0,17155349.647,
,,,,,,,,
"HSBC BANK, USA",,,,,,,,
  Registered,,3377178.65,0,0,0,0,3377178.65,
  Eligible,,17723499.783,0,0,0,0,17723499.783,
  Total,,21100678.433,0,0,0,0,21100678.433,
,,,,,,,,
INTERNATIONAL DEPOSITORY SERVICES OF DELAWARE,,,,,,,,
  Registered,,178515.19,0,0,0,0,178515.19,
  Eligible,,2705126.654,0,0,0,0,2705126.654,
  Total,,2883641.844,0,0,0,0,2883641.844,
,,,,,,,,
JP MORGAN CHASE BANK NA,,,,,,,,
  Registered,,11981013.97,0,0,0,0,11981013.97,
  Eligible,,136481243.483,0,948163.9,-948163.9,0,135533079.583,
  Total,,148462257.453,0,948163.9,-948163.9,0,147514093.553,
,,,,,,,,
LOOMIS INTERNATIONAL (US) LLC,,,,,,,,
  Registered,,4374000.077,10008.94,0,10008.94,0,4384009.017,
  Eligible,,24508690.746,0,0,0,0,24508690.746,
  Total,,28882690.823,10008.94,0,10008.94,0,28892699.763,
,,,,,,,,
"MALCA-AMIT ARMORED, INC.",,,,,,,,
  Registered,,0,0,0,0,0,0,
  Eligible,,0,0,0,0,0,0,
  Total,,0,0,0,0,0,0,
,,,,,,,,
"MALCA-AMIT USA, LLC",,,,,,,,
  Registered,,582110.337,0,0,0,0,582110.337,
  Eligible,,945167.377,0,0,0,0,945167.377,
  Total,,1527277.7140000002,0,0,0,0,1527277.7140000002,
,,,,,,,,
"MANFRA, TORDELLA & BROOKES, LLC",,,,,,,,
  Registered,,5417618.057,0,0,0,0,5417618.057,
  Eligible,,7740765.443,0,0,0,0,7740765.443,
  Total,,13158383.5,0,0,0,0,13158383.5,
,,,,,,,,
STONEX PRECIOUS METALS LLC,,,,,,,,
  Registered,,5714749.7,498343.66,0,498343.66,0,6213093.36,
  Eligible,,1629340.69,49889.64,0,49889.64,0,1679230.33,
  Total,,7344090.390000001,548233.2999999999,0,548233.2999999999,0,7892323.69,
,,,,,,,,
TOTAL REGISTERED,,78903367.869,508352.6,0,508352.6,0,79411720.469,
TOTAL ELIGIBLE,,256172267.235,49889.64,949158.9,-899269.26,0,255272997.975,
COMBINED TOTAL,,335075635.10400003,558242.24,949158.9,-390916.66000000003,0,334684718.444,
,,,,,,,,
,,,,,,,,
"The information in this report is taken from sources believed to be reliable; however, ",,,,,,,,
"the Commodity Exchange, Inc. disclaims all liability whatsoever with regard to its accuracy or completeness.",,,,,,,,
This report is produced for information purposes only.,,,,,,,,
,,,,,,,,
For questions regarding this report please email Registrar@cmegroup.com.,,,,,,,,
