Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
"COMMODITY EXCHANGE, INC.",,,,,,,,
,,,,,,,,
METAL DEPOSITORY STATISTICS,,,,,,,,
SILVER,,,,,,Report Date: 2/11/2026,,
Troy Ounce,,,,,,Activity Date: 2/10/2026,,
,,,,,,,,
DEPOSITORY,,PREV TOTAL,RECEIVED,WITHDRAWN,NET CHANGE,ADJUSTMENT,TOTAL TODAY,
,,,,,,,,
ASAHI DEPOSITORY LLC,,,,,,,,
  Registered,,24895753.652,0,0,0,-942122.06,23953631.592,
  Eligible,,2656602.278,0,610906.3,-610906.3,942122.06,2987818.038,
  Total,,27552355.93,0,610906.3,-610906.3,0,26941449.63,
,,,,,,,,
"BRINK'S, INC.",,,,,,,,
  Registered,,17976740.579,0,0,0,-414146.13,17562594.449,
  Eligible,,38785679.541,0,0,0,414146.13,39199825.671,
  Total,,56762420.120000005,0,0,0,0,56762420.12,
,,,,,,,,
"CNT DEPOSITORY, INC.",,,,,,,,
  Registered,,15828675.829,0,0,0,-485175.71,15343500.119,
  Eligible,,12820940.973,0,368252.82,-368252.82,485175.71,12937863.863,
  Total,,28649616.802,0,368252.82,-368252.82,0,28281363.982,
,,,,,,,,
DELAWARE DEPOSITORY,,,,,,,,
  Registered,,1966294.501,0,0,0,0,1966294.501,
  Eligible,,15907083.262,72286.962,2000.6,70286.362,0,15977369.624,
  Total,,17873377.763,72286.962,2000.6,70286.362,0,17943664.125,
,,,,,,,,
"HSBC BANK, USA",,,,,,,,
  Registered,,3492831.93,0,0,0,-20560.25,3472271.68,
  Eligible,,21240381.803,0,110629.57,-110629.57,20560.25,21150312.483,
  Total,,24733213.733,0,110629.57,-110629.57,0,24622584.163,
,,,,,,,,
INTERNATIONAL DEPOSITORY SERVICES OF DELAWARE,,,,,,,,
  Registered,,620749.47,0,0,0,0,620749.47,
  Eligible,,3295246.644,0,0,0,0,3295246.644,
  Total,,3915996.114,0,0,0,0,3915996.114,
,,,,,,,,
JP MORGAN CHASE BANK NA,,,,,,,,
  Registered,,12117421.82,0,0,0,-82164.5,12035257.32,
  Eligible,,153762189.683,0,2565810.5,-2565810.5,82164.5,151278543.683,
  Total,,165879611.503,0,2565810.5,-2565810.5,0,163313801.003,
,,,,,,,,
LOOMIS INTERNATIONAL (US) LLC,,,,,,,,
  Registered,,7540301.607,0,0,0,-166001.84,7374299.767,
  Eligible,,24268277.426,0,1088419.08,-1088419.08,166001.84,23345860.186,
  Total,,31808579.033,0,1088419.08,-1088419.08,0,30720159.953,
,,,,,,,,
"MALCA-AMIT ARMORED, INC.",,,,,,,,
  Registered,,0,0,0,0,0,0,
  Eligible,,0,0,0,0,0,0,
  Total,,0,0,0,0,0,0,
,,,,,,,,
"MALCA-AMIT USA, LLC",,,,,,,,
  Registered,,1225506.264,0,0,0,0,1225506.264,
  Eligible,,798026.177,0,0,0,0,798026.177,
  Total,,2023532.441,0,0,0,0,2023532.441,
,,,,,,,,
"MANFRA, TORDELLA & BROOKES, LLC",,,,,,,,
  Registered,,8139014.54,0,0,0,-1100405.34,7038609.2,
  Eligible,,11156818.426,0,30489.762,-30489.762,1100405.34,12226734.004,
  Total,,19295832.966000002,0,30489.762,-30489.762,0,19265343.204,
,,,,,,,,
STONEX PRECIOUS METALS LLC,,,,,,,,
  Registered,,7591598.24,0,0,0,-46307.1,7545291.14,
  Eligible,,186890.28,0,0,0,46307.1,233197.38,
  Total,,7778488.5200000005,0,0,0,0,7778488.52,
,,,,,,,,
TOTAL REGISTERED,,101394888.432,0,0,0,-3256882.93,98138005.50200002,
TOTAL ELIGIBLE,,284878136.493,72286.962,4776508.632,-4704221.67,3256882.93,283430797.75299996,
COMBINED TOTAL,,386273024.92499995,72286.962,4776508.632,-4704221.67,0,381568803.255,
,,,,,,,,
,,,,,,,,
"The information in this report is taken from sources believed to be reliable; however, ",,,,,,,,
"the Commodity Exchange, Inc. disclaims all liability whatsoever with regard to its accuracy or completeness.",,,,,,,,
This report is produced for information purposes only.,,,,,,,,
,,,,,,,,
For questions regarding this report please email Registrar@cmegroup.com.,,,,,,,,
