Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
"COMMODITY EXCHANGE, INC.",,,,,,,,
,,,,,,,,
METAL DEPOSITORY STATISTICS,,,,,,,,
SILVER,,,,,,Report Date: 1/29/2026,,
Troy Ounce,,,,,,Activity Date: 1/28/2026,,
,,,,,,,,
DEPOSITORY,,PREV TOTAL,RECEIVED,WITHDRAWN,NET CHANGE,ADJUSTMENT,TOTAL TODAY,
,,,,,,,,
ASAHI DEPOSITORY LLC,,,,,,,,
  Registered,,26115753.752,0,0,0,98747.6,26214501.352,
  Eligible,,8359202.268,0,1137083.8,-1137083.8,-98747.6,7123370.868,
  Total,,34474956.02,0,1137083.8,-1137083.8,0,33337872.220000003,
,,,,,,,,
"BRINK'S, INC.",,,,,,,,
  Registered,,21700372.059,0,0,0,-289781.66,21410590.399,
  Eligible,,34065605.204,0,0,0,289781.66,34355386.864,
  Total,,55765977.263000004,0,0,0,0,55765977.263,
,,,,,,,,
"CNT DEPOSITORY, INC.",,,,,,,,
  Registered,,16194588.486,0,0,0,-122403.749,16072184.737,
  Eligible,,18435125.758,0,684336.789,-684336.789,122403.749,17873192.718,
  Total,,34629714.244,0,684336.789,-684336.789,0,33945377.455,
,,,,,,,,
DELAWARE DEPOSITORY,,,,,,,,
  Registered,,2173977.259,0,0,0,0,2173977.259,
  Eligible,,15619019.01,0,3913.84,-3913.84,0,15615105.17,
  Total,,17792996.269,0,3913.84,-3913.84,0,17789082.429,
,,,,,,,,
"HSBC BANK, USA",,,,,,,,
  Registered,,3603461.5,0,0,0,0,3603461.5,
  Eligible,,22883994.506,0,0,0,0,22883994.506,
  Total,,26487456.006,0,0,0,0,26487456.006,
,,,,,,,,
INTERNATIONAL DEPOSITORY SERVICES OF DELAWARE,,,,,,,,
  Registered,,620749.47,0,0,0,0,620749.47,
  Eligible,,3295246.644,0,0,0,0,3295246.644,
  Total,,3915996.114,0,0,0,0,3915996.114,
,,,,,,,,
JP MORGAN CHASE BANK NA,,,,,,,,
  Registered,,15037589.42,0,0,0,-248319.3,14789270.12,
  Eligible,,157828464.043,0,1306391.4,-1306391.4,248319.3,156770391.943,
  Total,,172866053.463,0,1306391.4,-1306391.4,0,171559662.063,
,,,,,,,,
LOOMIS INTERNATIONAL (US) LLC,,,,,,,,
  Registered,,4053606.139,0,0,0,1044642.65,5098248.789,
  Eligible,,29753894.18,0,299569.49,-299569.49,-1044642.65,28409682.04,
  Total,,33807500.319,0,299569.49,-299569.49,0,33507930.829,
,,,,,,,,
"MALCA-AMIT ARMORED, INC.",,,,,,,,
  Registered,,0,0,0,0,0,0,
  Eligible,,0,0,0,0,0,0,
  Total,,0,0,0,0,0,0,
,,,,,,,,
"MALCA-AMIT USA, LLC",,,,,,,,
  Registered,,1416635.864,0,0,0,0,1416635.864,
  Eligible,,606896.577,0,0,0,0,606896.577,
  Total,,2023532.441,0,0,0,0,2023532.441,
,,,,,,,,
"MANFRA, TORDELLA & BROOKES, LLC",,,,,,,,
  Registered,,9019189.081,0,0,0,0,9019189.081,
  Eligible,,12914339.212,0,0,0,0,12914339.212,
  Total,,21933528.292999998,0,0,0,0,21933528.292999998,
,,,,,,,,
STONEX PRECIOUS METALS LLC,,,,,,,,
  Registered,,7738628.9,0,0,0,0,7738628.9,
  Eligible,,248295.68,0,0,0,0,248295.68,
  Total,,7986924.58,0,0,0,0,7986924.58,
,,,,,,,,
TOTAL REGISTERED,,107674551.93,0,0,0,482885.5410000001,108157437.47100002,
TOTAL ELIGIBLE,,304010083.0820001,0,3431295.319,-3431295.319,-482885.5410000001,300095902.22200006,
COMBINED TOTAL,,411684635.0120001,0,3431295.319,-3431295.319,0,408253339.6930001,
,,,,,,,,
,,,,,,,,
"The information in this report is taken from sources believed to be reliable; however, ",,,,,,,,
"the Commodity Exchange, Inc. disclaims all liability whatsoever with regard to its accuracy or completeness.",,,,,,,,
This report is produced for information purposes only.,,,,,,,,
,,,,,,,,
For questions regarding this report please email Registrar@cmegroup.com.,,,,,,,,
