Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
"COMMODITY EXCHANGE, INC.",,,,,,,,
,,,,,,,,
METAL DEPOSITORY STATISTICS,,,,,,,,
SILVER,,,,,,Report Date: 2/25/2026,,
Troy Ounce,,,,,,Activity Date: 2/24/2026,,
,,,,,,,,
DEPOSITORY,,PREV TOTAL,RECEIVED,WITHDRAWN,NET CHANGE,ADJUSTMENT,TOTAL TODAY,
,,,,,,,,
ASAHI DEPOSITORY LLC,,,,,,,,
  Registered,,23291615.992,0,0,0,0,23291615.992,
  Eligible,,2759053.808,0,1055624.56,-1055624.56,0,1703429.248,
  Total,,26050669.799999997,0,1055624.56,-1055624.56,0,24995045.24,
,,,,,,,,
"BRINK'S, INC.",,,,,,,,
  Registered,,15762433.006,0,0,0,-1067542.733,14694890.273,
  Eligible,,39357222.147,0,0,0,1067542.733,40424764.88,
  Total,,55119655.153,0,0,0,0,55119655.153000005,
,,,,,,,,
"CNT DEPOSITORY, INC.",,,,,,,,
  Registered,,12174851.569,0,0,0,-4646.1,12170205.469,
  Eligible,,13856687.823,0,0,0,4646.1,13861333.923,
  Total,,26031539.392,0,0,0,0,26031539.392,
,,,,,,,,
DELAWARE DEPOSITORY,,,,,,,,
  Registered,,1532776.423,0,0,0,0,1532776.423,
  Eligible,,15768908.045,0,6976.896,-6976.896,0,15761931.149,
  Total,,17301684.468,0,6976.896,-6976.896,0,17294707.572,
,,,,,,,,
"HSBC BANK, USA",,,,,,,,
  Registered,,3392227.13,0,0,0,-5008.1,3387219.03,
  Eligible,,19031139.793,0,647944.58,-647944.58,5008.1,18388203.313,
  Total,,22423366.923,0,647944.58,-647944.58,0,21775422.343000002,
,,,,,,,,
INTERNATIONAL DEPOSITORY SERVICES OF DELAWARE,,,,,,,,
  Registered,,273789.87,0,0,0,0,273789.87,
  Eligible,,3295246.644,0,0,0,0,3295246.644,
  Total,,3569036.514,0,0,0,0,3569036.514,
,,,,,,,,
JP MORGAN CHASE BANK NA,,,,,,,,
  Registered,,12000343.77,0,0,0,0,12000343.77,
  Eligible,,142890665.333,0,374396.88,-374396.88,0,142516268.453,
  Total,,154891009.10300002,0,374396.88,-374396.88,0,154516612.22300002,
,,,,,,,,
LOOMIS INTERNATIONAL (US) LLC,,,,,,,,
  Registered,,6306839.437,0,0,0,535790.01,6842629.447,
  Eligible,,24038631.686,10089.96,0,10089.96,-535790.01,23512931.636,
  Total,,30345471.123,10089.96,0,10089.96,0,30355561.083,
,,,,,,,,
"MALCA-AMIT ARMORED, INC.",,,,,,,,
  Registered,,0,0,0,0,0,0,
  Eligible,,0,0,0,0,0,0,
  Total,,0,0,0,0,0,0,
,,,,,,,,
"MALCA-AMIT USA, LLC",,,,,,,,
  Registered,,949634.064,0,0,0,0,949634.064,
  Eligible,,1073898.377,0,0,0,0,1073898.377,
  Total,,2023532.441,0,0,0,0,2023532.441,
,,,,,,,,
"MANFRA, TORDELLA & BROOKES, LLC",,,,,,,,
  Registered,,6219630.033,0,0,0,-348035.7,5871594.333,
  Eligible,,12256015.907,0,0,0,348035.7,12604051.607,
  Total,,18475645.939999998,0,0,0,0,18475645.94,
,,,,,,,,
STONEX PRECIOUS METALS LLC,,,,,,,,
  Registered,,5268155.68,0,0,0,0,5268155.68,
  Eligible,,2500397.44,0,80909.75,-80909.75,0,2419487.69,
  Total,,7768553.119999999,0,80909.75,-80909.75,0,7687643.369999999,
,,,,,,,,
TOTAL REGISTERED,,87172296.974,0,0,0,-889442.6230000001,86282854.35099998,
TOTAL ELIGIBLE,,276827867.00299996,10089.96,2165852.6659999997,-2155762.706,889442.6230000001,275561546.92,
COMBINED TOTAL,,364000163.977,10089.96,2165852.6659999997,-2155762.706,0,361844401.271,
,,,,,,,,
,,,,,,,,
"The information in this report is taken from sources believed to be reliable; however, ",,,,,,,,
"the Commodity Exchange, Inc. disclaims all liability whatsoever with regard to its accuracy or completeness.",,,,,,,,
This report is produced for information purposes only.,,,,,,,,
,,,,,,,,
For questions regarding this report please email Registrar@cmegroup.com.,,,,,,,,
